,gammaE,gammaN,gammaBW,repRate,laserWavelength,laserN,laserPulseEnergy,laserAvgPower,laserHarmonicEff,accElectronE,accAvgCurrent,accLength,accAvgPower,accPeakPower,accElectronN,accGrad,accShuntZ
22,5.0,10000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,300.39162852816025,13.020173287070042,3.0039162852816026,84.03012288542502,143.02147256303564,81274489931773.05,100.0,352.0
23,5.0,10000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,300.39162852816025,13.020173287070042,2.002610856854402,111.60677908455911,189.95766452056068,81274489931773.05,150.0,352.0
24,5.0,10000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,368.0818303391154,8.671688228087424,3.6808183033911543,172.245781007876,293.1668358513074,54130388439996.41,100.0,160.0
25,5.0,10000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,368.0818303391154,8.671688228087424,2.4538788689274362,246.5854871572041,419.69496503037834,54130388439996.41,150.0,160.0
26,5.0,10000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,368.0818303391154,8.671688228087424,3.6808183033911543,91.14791975406352,155.1361494741391,54130388439996.41,100.0,352.0
27,5.0,10000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,368.0818303391154,8.671688228087424,2.4538788689274362,124.93869527648538,212.64893546462588,54130388439996.41,150.0,352.0
28,5.0,10000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,368.0818303391154,4.335844114043712,3.6808183033911543,160.46259665326608,273.1115471047246,27065194219998.203,100.0,160.0
29,5.0,10000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,368.0818303391154,4.335844114043712,2.4538788689274362,234.8023028025942,399.6396762837956,27065194219998.203,150.0,160.0
30,5.0,10000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,368.0818303391154,4.335844114043712,3.6808183033911543,79.36473539945361,135.0808607275563,27065194219998.203,100.0,352.0
31,5.0,10000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,368.0818303391154,4.335844114043712,2.4538788689274362,113.15551092187546,192.5936467180431,27065194219998.203,150.0,352.0
32,5.0,100000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,300.39162852816025,260.40346574140085,3.0039162852816026,698.8734970193258,1189.5010175728214,1625489798635461.0,100.0,160.0
33,5.0,100000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,300.39162852816025,260.40346574140085,2.002610856854402,759.5421406574208,1292.7606398793764,1625489798635461.0,150.0,160.0
34,5.0,100000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,300.39162852816025,260.40346574140085,3.0039162852816026,632.6895221414038,1076.8541568747612,1625489798635461.0,100.0,352.0
35,5.0,100000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,300.39162852816025,260.40346574140085,2.002610856854402,660.2661783405379,1123.790348832286,1625489798635461.0,150.0,352.0
36,5.0,100000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,300.39162852816025,130.20173287070043,3.0039162852816026,410.10539214775787,698.0101310929657,812744899317730.5,100.0,160.0
37,5.0,100000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,300.39162852816025,130.20173287070043,2.002610856854402,470.77403578585285,801.2697533995207,812744899317730.5,150.0,160.0
38,5.0,100000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,300.39162852816025,130.20173287070043,3.0039162852816026,343.921417269836,585.3632703949056,812744899317730.5,100.0,352.0
39,5.0,100000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,300.39162852816025,130.20173287070043,2.002610856854402,371.4980734689701,632.2994623524306,812744899317730.5,150.0,352.0
40,5.0,100000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,368.0818303391154,86.71688228087426,3.6808183033911543,384.34309939085415,654.162033289797,541303884399964.1,100.0,160.0
41,5.0,100000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,368.0818303391154,86.71688228087426,2.4538788689274362,458.6828055401823,780.690162468868,541303884399964.1,150.0,160.0
42,5.0,100000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,368.0818303391154,86.71688228087426,3.6808183033911543,303.2452381370417,516.1313469126288,541303884399964.1,100.0,352.0
43,5.0,100000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,368.0818303391154,86.71688228087426,2.4538788689274362,337.03601365946355,573.6441329031155,541303884399964.1,150.0,352.0
44,5.0,100000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,368.0818303391154,43.35844114043713,3.6808183033911543,266.51125584475517,453.60914582396947,270651942199982.06,100.0,160.0
45,5.0,100000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,368.0818303391154,43.35844114043713,2.4538788689274362,340.8509619940833,580.1372750030405,270651942199982.06,150.0,160.0
46,5.0,100000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,368.0818303391154,43.35844114043713,3.6808183033911543,185.41339459094272,315.57845944680116,270651942199982.06,100.0,352.0
47,5.0,100000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,368.0818303391154,43.35844114043713,2.4538788689274362,219.20417011336457,373.09124543728797,270651942199982.06,150.0,352.0
48,10.0,1000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,424.8179150878649,2.604034657414008,4.248179150878649,179.76443269335135,305.9637781717589,16254897986354.607,100.0,160.0
49,10.0,1000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,424.8179150878649,2.604034657414008,2.8321194339190994,265.56285133712555,451.9949364832125,16254897986354.607,150.0,160.0
50,10.0,1000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,424.8179150878649,2.604034657414008,4.248179150878649,86.16615780923404,146.65706001380954,16254897986354.607,100.0,352.0
51,10.0,1000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,424.8179150878649,2.604034657414008,2.8321194339190994,125.1654390109496,213.03485924628845,16254897986354.607,150.0,352.0
52,10.0,1000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,424.8179150878649,1.302017328707004,4.248179150878649,175.68063499044993,299.0130473973331,8127448993177.304,100.0,160.0
53,10.0,1000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,424.8179150878649,1.302017328707004,2.8321194339190994,261.4790536342241,445.04420570878665,8127448993177.304,150.0,160.0
54,10.0,1000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,424.8179150878649,1.302017328707004,4.248179150878649,82.08236010633257,139.70632923938368,8127448993177.304,100.0,352.0
55,10.0,1000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,424.8179150878649,1.302017328707004,2.8321194339190994,121.0816413080481,206.08412847186256,8127448993177.304,150.0,352.0
56,10.0,1000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,520.5463165286895,0.8671688228087424,5.205463165286895,213.5972291428671,363.5480848820193,5413038843999.641,100.0,160.0
57,10.0,1000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,520.5463165286895,0.8671688228087424,3.47030877685793,318.7294498020774,542.4858811887563,5413038843999.641,150.0,160.0
58,10.0,1000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,520.5463165286895,0.8671688228087424,5.205463165286895,98.90753387827395,168.34321618376066,5413038843999.641,100.0,352.0
59,10.0,1000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,520.5463165286895,0.8671688228087424,3.47030877685793,146.69490690518776,249.67857814136843,5413038843999.641,150.0,352.0
60,10.0,1000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,520.5463165286895,0.4335844114043712,5.205463165286895,211.9308352306439,360.7118387477467,2706519421999.8203,100.0,160.0
